-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
 0.308     Speer RN SP                     110        0.144
 0.308     Speer Spire SP                  110        0.273
 0.308     HT                              115        0.349
 0.308     Lapua FMJ                       123        0.280
 0.308     Barnes "X" S                    125        0.351
 0.308     Barnes Solid                    125        0.372
 0.308     Berger MEF                      125        0.304
 0.308     Nosler Ballistic Tip            125        0.366
 0.308     Sierra HP (.30-30)              125        0.153
 0.308     Sierra Spitzer                  125        0.279
 0.308     Barnes "X" BT                   130        0.374
 0.308     Hornady SP                      130        0.295
 0.308     Hornady SS/PB                   130        0.295
 0.308     Lapua HP                        130        0.214
 0.308     Speer "TNT" HP                  130        0.326
 0.308     Speer Flat SP                   130        0.248
 0.308     Speer Hollow Point              130        0.263
 0.308     Berger Flat-Base VLD            135        0.402
 0.308     Barnes "X" BT                   140        0.398
 0.308     HT                              140        0.428
 0.308     Norma Pointed FMJ               146        0.440
 0.308     Barnes "X" BT                   150        0.428
 0.308     Barnes "X" FN                   150        0.269
 0.308     Barnes "X" S                    150        0.386
 0.308     HT                              150        0.458
 0.308     Hornady BTSP                    150        0.349
 0.308     Hornady FMJ-BT                  150        0.398
 0.308     Hornady RN (30-30)              150        0.186
 0.308     Hornady SP                      150        0.338
 0.308     Lapua Lock Base FMJ             150        0.488
 0.308     Lapua Mega SP                   150        0.330
 0.308     Norma Flat-point SP             150        0.250
 0.308     Norma Semi-pointed SP           150        0.280
 0.308     Nosler Ballistic Tip            150        0.435
 0.308     Nosler Spitzer Partition        150        0.387
 0.308     Sierra FMJ Boat Tail            150        0.397
 0.308     Sierra Flat Nose (.30-30)       150        0.224
 0.308     Sierra HPBT MatchKing           150        0.397
 0.308     Sierra Round Nose               150        0.227
 0.308     Sierra Spitzer                  150        0.346
 0.308     Sierra Spitzer Boat Tail        150        0.368
 0.308     Speer FMJ BT w/cann.            150        0.425
 0.308     Speer Flat SP                   150        0.268
 0.308     Speer Grand Slam SP             150        0.305
 0.308     Speer Mag-Tip SP                150        0.301
 0.308     Speer Round Nose SP             150        0.266
 0.308     Speer Spitzer SP                150        0.389
 0.308     Speer Spitzer SP BT             150        0.423
 0.308     Berger LTB                      155        0.428
 0.308     Berger VLD                      155        0.484
 0.308     Hornady A-MAX                   155        0.475
 0.308     Sierra HPBT Palma Match         155        0.443
 0.308     Berger Flat-Base VLD            160        0.511
 0.308     HT                              160        0.489
 0.308     Barnes "X" BT                   165        0.505
 0.308     Barnes "X" FN                   165        0.302
 0.308     Barnes "X" S                    165        0.456
 0.308     Barnes Solid                    165        0.481
 0.308     Bitterroot                      165        0.402
 0.308     Hornady BTSP                    165        0.435
 0.308     Hornady SP                      165        0.387
 0.308     Jensen J26                      165        0.532
 0.308     Nosler Ballistic Tip            165        0.475
 0.308     Nosler Spitzer Partition        165        0.410
 0.308     Sierra HPBT                     165        0.355
 0.308     Sierra Spitzer Boat Tail        165        0.404
 0.308     Speer Grand Slam SP             165        0.393
 0.308     Speer Round Nose SP             165        0.274
 0.308     Speer Spitzer SP                165        0.433
 0.308     Speer Spitzer SP BT             165        0.477
 0.308     Swift A-Frame                   165        0.394
 0.308     Woodleigh PP                    165        0.320
 0.308     Lapua Scenar HP                 167        0.470
 0.308     Berger VLD                      168        0.512
 0.308     Hornady A-MAX                   168        0.520
 0.308     Hornady BTHP Match              168        0.431
 0.308     Sierra HPBT MatchKing           168        0.447
 0.308     Speer Match HP BT               168        0.480
 0.308     HT                              170        0.519
 0.308     Hornady FP (30-30)              170        0.189
 0.308     Lapua FMJ BT                    170        0.504
 0.308     Lapua Lock Base FMJ             170        0.525
 0.308     Sierra Flat Nose (.30-30)       170        0.248
 0.308     Speer Flat SP                   170        0.304
 0.308     Berger VLD                      175        0.537
 0.308     Sierra HPBT MatchKing           175        0.496
 0.308     Barnes "X" BT                   180        0.552
 0.308     Barnes "X" S                    180        0.511
 0.308     Bitterroot                      180        0.440
 0.308     Hornady A-MAX                   180        0.580
 0.308     Hornady BTHP Match              180        0.498
 0.308     Hornady BTSP                    180        0.452
 0.308     Hornady RN                      180        0.241
 0.308     Hornady SP                      180        0.425
 0.308     Jensen J26                      180        0.579
 0.308     Norma Alaska                    180        0.250
 0.308     Norma Semi-pointed SP           180        0.400
 0.308     Norma Vulkan                    180        0.310
 0.308     Nosler Ballistic Tip            180        0.507
 0.308     Nosler Spitzer Partition        180        0.474
 0.308     Sierra HPBT MatchKing           180        0.496
 0.308     Sierra Round Nose               180        0.280
 0.308     Sierra Spitzer                  180        0.415
 0.308     Sierra Spitzer Boat Tail        180        0.506
 0.308     Speer Grand Slam SP             180        0.416
 0.308     Speer Mag-Tip SP                180        0.352
 0.308     Speer Round Nose SP             180        0.304
 0.308     Speer Spitzer SP                180        0.483
 0.308     Speer Spitzer SP BT             180        0.540
 0.308     Swift A-Frame                   180        0.429
 0.308     Woodleigh PP                    180        0.376
 0.308     Berger VLD                      185        0.569
 0.308     Lapua FMJ BT                    185        0.547
 0.308     Lapua Forex SP                  185        0.220
 0.308     Lapua Mega SP                   185        0.319
 0.308     Lapua Scenar HP                 185        0.521
 0.308     Berger VLD                      190        0.583
 0.308     Hornady BTSP                    190        0.491
 0.308     Sierra HPBT MatchKing           190        0.533
 0.308     Speer Match HP BT               190        0.540
 0.308     Barnes "X" S                    200        0.550
 0.308     Bitterroot                      200        0.500
 0.308     Jensen J26                      200        0.640
 0.308     Lapua Mega SP                   200        0.344
 0.308     Norma Vulkan                    200        0.330
 0.308     Nosler Spitzer Partition        200        0.481
 0.308     Sierra HPBT MatchKing           200        0.565
 0.308     Sierra Spitzer Boat Tail        200        0.552
 0.308     Speer Grand Slam SP             200        0.448
 0.308     Speer Spitzer SP                200        0.556
 0.308     Swift A-Frame                   200        0.477
 0.308     Berger VLD                      210        0.640
 0.308     Barnes Solid                    220        0.305
 0.308     Hornady RN                      220        0.300
 0.308     Nosler Semi-Spitzer PT          220        0.351
 0.308     Sierra HPBT MatchKing           220        0.624
 0.308     Sierra Round Nose               220        0.335
